,transaction_id,procedure_id,trans_group_id,trans_group_ar,trans_group_en,procedure_name_ar,procedure_name_en,instance_date,property_type_id,property_type_ar,property_type_en,property_sub_type_id,property_sub_type_ar,property_sub_type_en,property_usage_ar,property_usage_en,reg_type_id,reg_type_ar,reg_type_en,area_id,area_name_ar,area_name_en,building_name_ar,building_name_en,project_number,project_name_ar,project_name_en,master_project_en,master_project_ar,nearest_landmark_ar,nearest_landmark_en,nearest_metro_ar,nearest_metro_en,nearest_mall_ar,nearest_mall_en,rooms_ar,rooms_en,has_parking,procedure_area,actual_worth,meter_sale_price,rent_value,meter_rent_price,no_of_parties_role_1,no_of_parties_role_2,no_of_parties_role_3
53477,1-102-2015-10563,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,04-08-2015,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,465,وادي الصفا 3,Wadi Al Safa 3,SEVENTH HEAVEN,SEVENTH HEAVEN,1482.0,سفنث هفن,SEVENTH HEAVEN,,,آي إم جي وورلد أدفينتشرز,IMG World Adventures,,,,,ثلاث غرف,3 B/R,1,357.31,5499747.0,15392.09,,,1.0,1.0,0.0
967469,3-9-2022-3012,9,3,هبات,Gifts,هبه,Grant,20-09-2022,3,وحدة,Unit,101.0,شقة فندقية,Hotel Apartment,ضيافة,Hospitality ,1,العقارات القائمة,Existing Properties,526,الخليج التجارى,Business Bay,ذا أوبس من أمنيات,The Opus By Omniyat,1177.0,أوبس من أمنيات,THE OPUS BY OMNIYAT,Business Bay,الخليج التجاري,وسط مدينة دبي,Downtown Dubai,محطة مترو الخليج التجاري,Business Bay Metro Station,مول دبي,Dubai Mall,غرفة,1 B/R,1,76.01,2022378.0,26606.74,,,1.0,1.0,0.0
1020400,2-13-2012-2220,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,11-06-2012,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,526,الخليج التجارى,Business Bay,ويست هايتس 4,WEST HEIGHTS 4,,,,Business Bay,الخليج التجاري,برج خليفة,Burj Khalifa,محطة مترو الخليج التجاري,Business Bay Metro Station,مول دبي,Dubai Mall,ثلاث غرف,3 B/R,1,204.85,1480000.0,7224.8,,,1.0,1.0,0.0
981011,1-11-2020-3491,11,1,مبايعات,Sales,بيع,Sell,06-04-2020,3,وحدة,Unit,112.0,غرفة فندقية,Hotel Rooms,ضيافة,Hospitality ,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,فندق تي أف جي وان,TFG ONE HOTEL,1688.0,فندق تي اف جي ون,TFG ONE HOTEL,Dubai Marina,دبي مارينا,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,أبراج بحيرات جميرا,Jumeirah Lakes Towers,مارينا مول,Marina Mall,استوديو,Studio,1,32.26,1450000.0,44947.3,,,1.0,2.0,0.0
210332,1-11-2009-1384,11,1,مبايعات,Sales,بيع,Sell,16-07-2009,4,فيلا,Villa,,,,تجاري,Commercial,1,العقارات القائمة,Existing Properties,300,الراشديه,Al Rashidiya,,,,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو الراشدية,Rashidiya Metro Station,سيتي سنتر مردف,City Centre Mirdif,,,0,334.45,1150000.0,3438.48,,,1.0,1.0,0.0
657907,1-11-2014-21104,11,1,مبايعات,Sales,بيع,Sell,15-09-2014,3,وحدة,Unit,42.0,مكتب,Office,تجاري,Commercial,1,العقارات القائمة,Existing Properties,526,الخليج التجارى,Business Bay,انترناشونال بيزنس تاور,INTERNATIONAL BUSINESS TOWER,,,,Business Bay,الخليج التجاري,وسط مدينة دبي,Downtown Dubai,محطة مترو الخليج التجاري,Business Bay Metro Station,مول دبي,Dubai Mall,مكتب,Office,1,74.1,737045.0,9946.63,,,1.0,1.0,0.0
165452,1-814-2020-4,814,1,مبايعات,Sales,تسجيل إيجارة تنتهي بالتملك على حق منفعة,Lease to Own on Development Registration,08-10-2020,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,484,ند حصة,Nadd Hessa,سيليكون جيت 1,SILICON GATES 1,774.0,بوابة السيليكون 1,SILICON GATE 1,Silicon Oasis,واحة السيليكون,آي إم جي وورلد أدفينتشرز,IMG World Adventures,,,,,غرفتين,2 B/R,1,117.86,485000.0,4115.05,,,2.0,2.0,2.0
328793,1-11-2012-24050,11,1,مبايعات,Sales,بيع,Sell,12-12-2012,4,فيلا,Villa,,,,تجاري,Commercial,1,العقارات القائمة,Existing Properties,352,الثنيه الرابعة,Al Thanayah Fourth,,,,,,Meadows 4,السهول 4,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,عقارات داماك,Damac Properties,مارينا مول,Marina Mall,,,0,554.72,5100000.0,9193.83,,,1.0,1.0,0.0
744830,1-11-2018-11977,11,1,مبايعات,Sales,بيع,Sell,19-12-2018,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,دي اي سي تاورز تي 1,DEC TOWERS T1,,,,Dubai Marina,دبي مارينا,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,مساكن شاطئ جميرا,Jumeirah Beach Residency,مارينا مول,Marina Mall,غرفتين,2 B/R,1,138.5,357792.0,2583.34,,,0.0,1.0,0.0
432907,1-41-2022-7489,41,1,مبايعات,Sales,بيع مبدئى,Delayed Sell,27-04-2022,1,أرض,Land,,,,سكني,Residential,1,العقارات القائمة,Existing Properties,435,الحبيه الرابعة,Al Hebiah Fourth,,,2322.0,علايا,Alaya,TILAL AL GHAF,تلال الغاف,,,,,,,,,0,1015.69,15565000.0,15324.56,,,1.0,2.0,0.0
217984,2-107-2007-353,107,2,رهون,Mortgages,تسجيل إيجارة تنتهى بالتملك - تسجيل مبدئى,Lease to Own Registration Pre-Registration,15-07-2009,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,350,الثنيه الخامسة,Al Thanyah Fifth,Frond/JHFTA,Frond/JHFTA,1285.0,مرتفعات جميرا,JUMEIRAH HEIGHTS FRONDS,Jumeirah Islands,جزر جميرا,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,أبراج بحيرات جميرا,Jumeirah Lakes Towers,مارينا مول,Marina Mall,غرفتين,2 B/R,0,146.23,1370965.0,9375.4,1370965.0,9375.0,2.0,2.0,2.0
450256,1-11-2007-100523,11,1,مبايعات,Sales,بيع,Sell,16-07-2007,4,فيلا,Villa,4.0,فيلا,Villa,سكني,Residential,1,العقارات القائمة,Existing Properties,352,الثنيه الرابعة,Al Thanayah Fourth,,,,,,Springs - 7,الينابيع - 7 ايه وبي,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,عقارات داماك,Damac Properties,مارينا مول,Marina Mall,ثلاث غرف,3 B/R,0,340.74,866888.0,2544.13,,,1.0,2.0,0.0
378138,1-11-2007-3504,11,1,مبايعات,Sales,بيع,Sell,26-11-2007,4,فيلا,Villa,,,,تجاري,Commercial,1,العقارات القائمة,Existing Properties,410,نخلة جميرا,Palm Jumeirah,,,,,,Palm Jumeirah,نخلة جميرا,برج العرب,Burj Al Arab,الصفوح,Al Sufouh,مارينا مول,Marina Mall,,,0,622.29,2800000.0,4499.51,,,1.0,1.0,0.0
248163,1-11-2009-204560,11,1,مبايعات,Sales,بيع,Sell,23-02-2009,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,فيروز,Fairooz,,,,Dubai Marina,دبي مارينا,برج العرب,Burj Al Arab,ابراج مارينا,Marina Towers,مارينا مول,Marina Mall,ثلاث غرف,3 B/R,1,222.87,4000000.0,17947.68,,,1.0,1.0,0.0
338684,1-11-2023-15557,11,1,مبايعات,Sales,بيع,Sell,23-05-2023,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,350,الثنيه الخامسة,Al Thanyah Fifth,المنازل,The Residences,1758.0,المنازل,The Residences,,,برج العرب,Burj Al Arab,عقارات داماك,Damac Properties,مارينا مول,Marina Mall,ثلاث غرف,3 B/R,1,280.25,5250000.0,18733.27,,,1.0,1.0,0.0
1015436,1-11-2008-205510,11,1,مبايعات,Sales,بيع,Sell,20-08-2008,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,343,ورسان الاولى,Al Warsan First,S12,S12,,,,International City Phase 1,المدينة العالمية - المرحلة الاولى,,,محطة مترو الراشدية,Rashidiya Metro Station,سيتي سنتر مردف,City Centre Mirdif,استوديو,Studio,0,44.5,255000.0,5730.34,,,2.0,2.0,0.0
723075,1-11-2013-23967,11,1,مبايعات,Sales,بيع,Sell,05-08-2013,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,350,الثنيه الخامسة,Al Thanyah Fifth,ليك بوينت ان 2,Lakepoint N2,,,,Jumeirah Lakes Towers, ابراج بحيرات الجميرا,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,أبراج بحيرات جميرا,Jumeirah Lakes Towers,مارينا مول,Marina Mall,غرفة,1 B/R,1,83.66,850000.0,10160.17,,,1.0,1.0,0.0
436635,1-102-2014-2451,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,26-03-2014,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,526,الخليج التجارى,Business Bay,ذا فوغ,THE VOGUE,444.0,ذا فوغ,THE VOGUE,Business Bay,الخليج التجاري,وسط مدينة دبي,Downtown Dubai,محطة مترو بوج خليفة دبي مول,Buj Khalifa Dubai Mall Metro Station,مول دبي,Dubai Mall,غرفة,1 B/R,1,83.87,1902850.0,22688.09,,,1.0,1.0,0.0
1016974,1-11-2022-27181,11,1,مبايعات,Sales,بيع,Sell,02-11-2022,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,THE RESIDENCE AT MARINA GATE 2,THE RESIDENCE AT MARINA GATE 2,1547.0,ريزيدنس أت مارينا جيت 2 ,THE RESIDENCES AT MARINA GATE 2,,,برج العرب,Burj Al Arab,ابراج مارينا,Marina Towers,مارينا مول,Marina Mall,ثلاث غرف,3 B/R,1,151.77,3900000.0,25696.78,,,1.0,2.0,0.0
503434,1-11-2020-12332,11,1,مبايعات,Sales,بيع,Sell,17-12-2020,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,409,البرشاء جنوب الثالثة,Al Barshaa South Third,B-ذ ونغس,The Wings - B,1948.0,ذ ونغس,THE WINGS,Arjan,أرجان,موتور سيتي,Motor City,محطة مترو شرف دي جي,Sharaf Dg Metro Station,مول الإمارات,Mall of the Emirates,ثلاث غرف,3 B/R,1,142.63,1100000.0,7712.26,,,1.0,1.0,0.0
934249,1-11-2023-17206,11,1,مبايعات,Sales,بيع,Sell,05-06-2023,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,441,البرشاء جنوب الرابعة,Al Barsha South Fourth,لايا مانشن,LAYA Mansion,2030.0,لايا  مانشن,Laya Mansion,Jumeirah Village Circle,قرية جميرا الدائرية,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,محطة مترو النخيل,Nakheel Metro Station,مارينا مول,Marina Mall,استوديو,Studio,1,38.44,445000.0,11576.48,,,1.0,1.0,0.0
1014055,1-11-2008-101118,11,1,مبايعات,Sales,بيع,Sell,19-06-2008,4,فيلا,Villa,4.0,فيلا,Villa,سكني,Residential,1,العقارات القائمة,Existing Properties,434,وادي الصفا 6,Wadi Al Safa 6,,,,,,Arabian Ranches - Al Reem 1,المرابع العربية - الريم 1,قرية عالمية,Global Village,,,,,ثلاث غرف,3 B/R,0,212.93,665888.0,3127.26,,,1.0,2.0,0.0
504622,2-810-2018-216,810,2,رهون,Mortgages,تسجيل اجارة تمويلية,Lease Finance Registration,05-03-2018,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,444,الحبيه الاولى,Al Hebiah First,بينيت هاوس 2,BENNETT HOUSE 2,,,,Motor City,موتور ستي,موتور سيتي,Motor City,محطة مترو شرف دي جي,Sharaf Dg Metro Station,مول الإمارات,Mall of the Emirates,غرفتين,2 B/R,1,133.69,835000.0,6245.79,,,1.0,1.0,0.0
817498,2-13-2023-9128,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,31-05-2023,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,441,البرشاء جنوب الرابعة,Al Barsha South Fourth,بن غاطي جيت,Binghatti Gate,2232.0,بوابة بن غاطي,Binghatti Gate ,Jumeirah Village Circle,قرية جميرا الدائرية,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,مدينة دبي للإنترنت,Dubai Internet City,مارينا مول,Marina Mall,غرفتين,2 B/R,1,89.63,636930.0,7106.21,,,1.0,1.0,0.0
642636,1-102-2020-5361,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,18-03-2020,3,وحدة,Unit,101.0,شقة فندقية,Hotel Apartment,ضيافة,Hospitality ,0,على الخارطة,Off-Plan Properties,410,نخلة جميرا,Palm Jumeirah,,SEVEN HOTEL & APARTMENTS THE PALM,1962.0,فندق وشقق سفن - النخلة,Seven Hotel and Apartments The Palm,Palm Jumeirah,نخلة جميرا,برج العرب,Burj Al Arab,نخلة جميرا,Palm Jumeirah,مارينا مول,Marina Mall,استوديو,Studio,1,32.8,812995.0,24786.43,,,1.0,1.0,0.0
94832,1-11-2007-677,11,1,مبايعات,Sales,بيع,Sell,12-03-2007,4,فيلا,Villa,,,,سكني,Residential,1,العقارات القائمة,Existing Properties,434,وادي الصفا 6,Wadi Al Safa 6,,,,,,Arabian Ranches - Saheel,المرابع العربية - صهيل,موتور سيتي,Motor City,محطة مترو بنك أبوظبي الأول,First Abu Dhabi Bank Metro Station,مول الإمارات,Mall of the Emirates,,,0,659.98,1115888.0,1690.79,,,1.0,2.0,0.0
183820,1-41-2010-33,41,1,مبايعات,Sales,بيع مبدئى,Delayed Sell,18-01-2010,2,مبنى,Building,,,,تجاري,Commercial,1,العقارات القائمة,Existing Properties,350,الثنيه الخامسة,Al Thanyah Fifth,,,818.0,برج الصقران,ALSAQRAN TOWER,Jumeirah Islands,جزر جميرا,برج العرب,Burj Al Arab,عقارات داماك,Damac Properties,مارينا مول,Marina Mall,,,0,1650.0,17500000.0,10606.06,,,1.0,2.0,0.0
58970,2-14-2015-594,14,2,رهون,Mortgages,تعديل رهن,Modify Mortgage,25-05-2015,4,فيلا,Villa,,,,سكني,Residential,1,العقارات القائمة,Existing Properties,464,وادي الصفا 2,Wadi Al Safa 2,,,,,,Falcon City,فالكون ستي,آي إم جي وورلد أدفينتشرز,IMG World Adventures,,,,,,,0,513.1,3075000.0,5992.98,,,1.0,1.0,0.0
538579,1-102-2016-5461,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,09-05-2016,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,350,الثنيه الخامسة,Al Thanyah Fifth,THE WIND TOWER II,THE WIND TOWER II,399.0,وند تاور II,THE WIND TOWER II,Jumeirah Islands,جزر جميرا,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,أبراج بحيرات جميرا,Jumeirah Lakes Towers,مارينا مول,Marina Mall,غرفة,1 B/R,1,58.42,605141.0,10358.46,,,2.0,1.0,0.0
67315,1-11-2021-9935,11,1,مبايعات,Sales,بيع,Sell,14-06-2021,4,فيلا,Villa,,,,سكني,Residential,1,العقارات القائمة,Existing Properties,528,اليفره 3,Al Yufrah 3,,,1640.0,  داماك هيلز (2) - سانكتنري, DAMAC HILLS (2)  - SANCTNARY,DAMAC HILLS 2,داماك هيليز 2,دورة دبي للدراجات,Dubai Cycling Course,,,,,,,0,199.96,1323000.0,6616.32,,,1.0,2.0,0.0
909420,2-13-2018-8960,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,22-11-2018,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,350,الثنيه الخامسة,Al Thanyah Fifth,تمويل تاور,Tamweel Tower,,,,Jumeirah Lakes Towers, ابراج بحيرات الجميرا,برج العرب,Burj Al Arab,عقارات داماك,Damac Properties,مارينا مول,Marina Mall,غرفتين,2 B/R,1,188.65,1162500.0,6162.21,,,1.0,1.0,0.0
538239,1-11-2019-150,11,1,مبايعات,Sales,بيع,Sell,07-01-2019,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,441,البرشاء جنوب الرابعة,Al Barsha South Fourth,الصيف 2,SUMMER 2,1306.0,مجتمع المواسم- الصيف,SEASONS COMMUNITY- SUMMER,Jumeirah Village Circle,قرية جميرا الدائرية,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,مدينة دبي للإنترنت,Dubai Internet City,مارينا مول,Marina Mall,غرفة,1 B/R,1,56.27,400000.0,7108.58,,,1.0,1.0,0.0
710204,3-9-2016-1531,9,3,هبات,Gifts,هبه,Grant,01-11-2016,4,فيلا,Villa,4.0,فيلا,Villa,سكني,Residential,1,العقارات القائمة,Existing Properties,352,الثنيه الرابعة,Al Thanayah Fourth,,,,,,Springs - 1,الينابيع - 1,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,عقارات داماك,Damac Properties,مارينا مول,Marina Mall,ثلاث غرف,3 B/R,0,84.92,1166666.0,13738.41,,,1.0,1.0,0.0
467183,1-11-2013-34869,11,1,مبايعات,Sales,بيع,Sell,28-10-2013,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,تورش تاور,Torch Tower,257.0,برج الشعلة,TORCH TOWER,Dubai Marina,دبي مارينا,برج العرب,Burj Al Arab,ابراج مارينا,Marina Towers,مارينا مول,Marina Mall,غرفتين,2 B/R,1,116.91,1550000.0,13258.06,,,1.0,1.0,0.0
631399,1-11-2023-11282,11,1,مبايعات,Sales,بيع,Sell,17-04-2023,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,مارينا دايموند - 3,MARINA DIAMOND-3,,,,Dubai Marina,دبي مارينا,برج العرب,Burj Al Arab,مرسى دبي,Dubai Marina,مارينا مول,Marina Mall,محل,Shop,1,168.25,5100000.0,30312.04,,,1.0,1.0,0.0
367455,1-102-2010-2098,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,10-06-2010,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,330,مرسى دبي,Marsa Dubai,ترايدنت جراند ريزيدنس,TRIDENT GRAND RESIDENCE,208.0,ترايدنت جراند,TRIDENT GRAND,Dubai Marina,دبي مارينا,برج العرب,Burj Al Arab,مساكن شاطئ الجميرا,Jumeirah Beach Resdency,مارينا مول,Marina Mall,غرفتين,2 B/R,1,164.17,2400000.0,14618.99,,,,,
274180,1-11-2015-14618,11,1,مبايعات,Sales,بيع,Sell,28-09-2015,1,أرض,Land,,,,تجاري,Commercial,1,العقارات القائمة,Existing Properties,352,الثنيه الرابعة,Al Thanayah Fourth,,,,,,Emirates Hills,تلال الامارات,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,محطة مترو النخيل,Nakheel Metro Station,مارينا مول,Marina Mall,,,0,1777.32,31000000.0,17441.99,,,1.0,2.0,0.0
270283,2-13-2023-9582,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,08-06-2023,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,526,الخليج التجارى,Business Bay,برج اّمنة,AMNA TOWER,1670.0,الحبتور سيتي,AL HABTOOR CITY,,,وسط مدينة دبي,Downtown Dubai,محطة مترو الخليج التجاري,Business Bay Metro Station,مول دبي,Dubai Mall,غرفة,1 B/R,1,90.4,1399200.0,15477.88,,,1.0,1.0,0.0
458160,1-11-2021-20142,11,1,مبايعات,Sales,بيع,Sell,11-11-2021,4,فيلا,Villa,,,,سكني,Residential,1,العقارات القائمة,Existing Properties,482,حدائق الشيخ محمد بن راشد,Hadaeq Sheikh Mohammed Bin Rashid,,,1841.0,سدره 2,Sidra 2,DUBAI HILLS - SIDRA 2,دبي هيليز - سيدرا 2,موتور سيتي,Motor City,محطة مترو بنك أبوظبي الأول,First Abu Dhabi Bank Metro Station,مول الإمارات,Mall of the Emirates,,,0,439.04,3900000.0,8883.02,,,1.0,1.0,0.0
